stock_code,expiry_date,strike_price,datetime,call_open,call_high,call_low,call_close,call_OI,call_volume,put_open,put_high,put_low,put_close,put_OI,put_volume
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:20:00,47.6,47.65,46.7,47.25,70775.0,1475.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:21:00,46.7,47.15,46.1,46.65,70650.0,1525.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:22:00,46.65,47.9,46.65,46.95,70650.0,1125.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:23:00,46.95,49.65,46.95,49.2,70650.0,825.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:24:00,49.2,49.6,48.55,49.25,69975.0,1700.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:25:00,49.25,49.25,48.0,48.25,69975.0,400.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:26:00,48.25,51.25,48.05,50.7,69975.0,3150.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:27:00,50.7,51.0,49.85,50.85,70650.0,225.0,672.75,672.75,672.75,672.75,2725.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:28:00,50.85,50.85,49.7,49.7,70650.0,775.0,672.75,672.75,649.55,649.55,2800.0,75.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:29:00,49.7,51.0,49.7,50.7,70650.0,1675.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:30:00,50.7,52.0,49.8,50.85,70400.0,2225.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:31:00,50.85,50.85,49.4,49.85,70400.0,325.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:32:00,49.85,49.85,49.05,49.05,70400.0,550.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:33:00,48.9,49.15,48.9,48.9,69675.0,125.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:34:00,48.9,48.9,48.35,48.35,69675.0,25.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:35:00,48.35,48.6,47.4,48.6,69675.0,50.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:36:00,48.6,48.6,47.75,47.75,69675.0,925.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:37:00,47.75,48.75,47.75,48.25,69575.0,975.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:38:00,48.25,48.75,47.9,47.9,69575.0,125.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:39:00,47.9,48.5,47.8,48.5,68750.0,1250.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:40:00,48.5,49.35,48.5,49.2,68750.0,275.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:41:00,49.2,50.7,49.2,50.0,68750.0,125.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:42:00,50.0,50.8,49.4,50.8,68625.0,525.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:43:00,50.8,51.15,50.1,50.1,68625.0,850.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:44:00,50.1,50.1,49.8,49.8,68625.0,225.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:45:00,49.8,49.8,49.55,49.55,68950.0,100.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:46:00,50.5,54.15,50.5,52.6,68950.0,1475.0,649.55,649.55,649.55,649.55,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:47:00,52.6,56.4,51.15,56.4,68950.0,4675.0,649.55,649.55,622.85,622.85,2800.0,75.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:48:00,56.4,56.4,53.7,53.7,71925.0,4925.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:49:00,53.7,54.1,52.9,54.1,71925.0,1275.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:50:00,54.1,54.1,52.55,52.55,71925.0,650.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:51:00,52.55,52.8,51.6,52.8,71925.0,2200.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:52:00,52.8,55.25,52.8,54.9,70825.0,3075.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:53:00,54.9,55.3,53.25,55.3,70825.0,325.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:54:00,54.85,54.85,54.1,54.5,73225.0,1350.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:55:00,54.5,54.5,52.45,52.5,73225.0,200.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:56:00,52.5,54.2,52.5,53.7,73225.0,1125.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:57:00,53.7,53.7,50.85,51.8,73225.0,3400.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:58:00,51.8,51.8,50.95,51.35,71325.0,750.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 10:59:00,51.35,51.6,51.35,51.6,71325.0,825.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:00:00,51.6,52.5,51.6,52.2,71325.0,250.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:01:00,52.2,52.2,52.0,52.0,71200.0,50.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:02:00,52.0,52.4,51.55,51.8,71200.0,125.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:03:00,51.8,51.8,49.6,50.4,71200.0,2925.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:04:00,50.4,51.2,50.4,51.2,69625.0,175.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:05:00,51.2,51.75,51.0,51.0,69625.0,250.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:06:00,51.0,52.75,51.0,52.15,69900.0,1800.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:07:00,52.15,52.15,51.35,51.35,69900.0,325.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:08:00,51.65,51.65,51.65,51.65,69900.0,50.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:09:00,51.65,52.3,51.45,51.45,69900.0,550.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:10:00,51.45,52.95,51.45,52.7,71750.0,800.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:11:00,52.7,54.1,52.7,53.9,71750.0,125.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:12:00,53.9,53.9,52.1,52.5,71925.0,350.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:13:00,52.65,52.75,52.55,52.75,71925.0,1625.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:14:00,52.35,54.2,52.35,53.8,71925.0,950.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:15:00,53.8,54.5,52.95,53.7,73400.0,1400.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:16:00,53.7,54.15,53.6,53.6,73400.0,400.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:17:00,53.6,54.85,53.6,54.65,73400.0,450.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:18:00,54.65,54.65,53.7,54.15,73775.0,1000.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:19:00,54.25,55.7,54.1,54.65,73775.0,850.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:20:00,54.65,56.9,54.65,56.0,73775.0,1450.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:21:00,56.0,56.0,55.4,55.5,73850.0,2275.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:22:00,55.5,55.5,54.15,55.0,73850.0,325.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:23:00,55.0,55.7,55.0,55.7,73850.0,75.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:24:00,55.7,55.7,55.05,55.05,73850.0,300.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:25:00,55.05,56.65,55.05,55.6,73775.0,425.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:26:00,55.3,56.25,55.25,56.25,73775.0,425.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:27:00,56.25,56.85,55.4,56.0,72000.0,2250.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:28:00,56.0,60.6,56.0,58.6,72000.0,2925.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:29:00,58.6,58.6,58.0,58.2,72000.0,1050.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:30:00,58.2,60.0,58.2,60.0,73500.0,350.0,622.85,622.85,622.85,622.85,2800.0,0.0
NIFTY,19-DEC-2024,25250.0,09-12-2024 11:31:00,60.0,60.0,58.65,58.65,73500.0,400.0,622.85,622.85,622.85,622.85,2800.0,0.0
